Date,TERNIUM
02-01-2024,41.63
03-01-2024,41.25
04-01-2024,41.5
05-01-2024,40.69
08-01-2024,40.83
09-01-2024,40.4
10-01-2024,40.61
11-01-2024,40.46
12-01-2024,41.08
16-01-2024,40.36
17-01-2024,38.98
18-01-2024,38.83
19-01-2024,38.86
22-01-2024,38.65
23-01-2024,39.07
24-01-2024,39.1
25-01-2024,39.15
26-01-2024,39.72
29-01-2024,39.26
30-01-2024,39.13
31-01-2024,38.66
01-02-2024,38.87
02-02-2024,38.74
05-02-2024,38
06-02-2024,38.26
07-02-2024,38.36
08-02-2024,37.73
09-02-2024,37.51
12-02-2024,37.95
13-02-2024,36.74
14-02-2024,37.26
15-02-2024,37.47
16-02-2024,37.67
20-02-2024,37.47
21-02-2024,40.69
22-02-2024,39.95
23-02-2024,39.84
26-02-2024,39.82
27-02-2024,40.42
28-02-2024,39.65
29-02-2024,40.54
01-03-2024,40.36
04-03-2024,39.15
05-03-2024,38.42
06-03-2024,39.35
07-03-2024,39.28
08-03-2024,40.1
11-03-2024,40.3
12-03-2024,40.51
13-03-2024,40.28
14-03-2024,39.69
15-03-2024,39.71
18-03-2024,39.89
19-03-2024,40.65
20-03-2024,41
21-03-2024,41.11
22-03-2024,40.88
25-03-2024,41.03
26-03-2024,41.32
27-03-2024,41.89
28-03-2024,41.62
01-04-2024,41.68
02-04-2024,41.22
03-04-2024,41.01
04-04-2024,42.09
05-04-2024,42.28
08-04-2024,43.76
09-04-2024,44
10-04-2024,44.18
11-04-2024,43.2
12-04-2024,42.6
15-04-2024,42.87
16-04-2024,42.35
17-04-2024,42.7
18-04-2024,42.92
19-04-2024,43.19
22-04-2024,42.67
23-04-2024,42.62
24-04-2024,42.15
25-04-2024,42.66
26-04-2024,43.58
29-04-2024,43.1
30-04-2024,42.1
01-05-2024,42.71
02-05-2024,40.51
03-05-2024,40.29
06-05-2024,40.31
07-05-2024,40.44
08-05-2024,40.23
09-05-2024,41.53
10-05-2024,42.18
13-05-2024,42.63
14-05-2024,43.12
15-05-2024,43.09
16-05-2024,43.08
17-05-2024,43.64
20-05-2024,43.62
21-05-2024,43.44
22-05-2024,43.49
23-05-2024,43.31
24-05-2024,43.24
28-05-2024,42.74
29-05-2024,41.94
30-05-2024,42.6
31-05-2024,43.18
03-06-2024,43.52
04-06-2024,42.44
05-06-2024,42.05
06-06-2024,40.9
07-06-2024,39.22
10-06-2024,38.72
11-06-2024,38.18
12-06-2024,38.2
13-06-2024,37.94
14-06-2024,37.88
17-06-2024,37.5
18-06-2024,36.77
20-06-2024,36.78
21-06-2024,36.73
24-06-2024,36.9
25-06-2024,36.57
26-06-2024,36.98
27-06-2024,37.29
28-06-2024,37.55
01-07-2024,36.91
02-07-2024,37.46
03-07-2024,38.01
05-07-2024,37.44
08-07-2024,37.39
09-07-2024,36.5
10-07-2024,36.91
11-07-2024,37.3
12-07-2024,37.38
15-07-2024,37.42
16-07-2024,37.45
17-07-2024,36.49
18-07-2024,36
19-07-2024,35.66
22-07-2024,36.14
23-07-2024,35.87
24-07-2024,35.43
25-07-2024,35.97
26-07-2024,36.17
29-07-2024,35.9
30-07-2024,35.46
31-07-2024,34.68
01-08-2024,33.61
02-08-2024,33.03
05-08-2024,32.56
06-08-2024,33.26
07-08-2024,33.24
08-08-2024,33.85
09-08-2024,34.07
12-08-2024,34.4
13-08-2024,34.57
14-08-2024,34.55
15-08-2024,34.75
16-08-2024,34.48
19-08-2024,34.87
20-08-2024,34.21
21-08-2024,34.74
22-08-2024,33.74
23-08-2024,34.15
26-08-2024,34.52
27-08-2024,34.66
28-08-2024,33.78
29-08-2024,33.91
30-08-2024,33.67
03-09-2024,32.55
04-09-2024,32.36
05-09-2024,32.58
06-09-2024,32.13
09-09-2024,31.74
10-09-2024,30.9
11-09-2024,31.39
12-09-2024,32.42
13-09-2024,33.35
16-09-2024,34.16
17-09-2024,34.5
18-09-2024,34.35
19-09-2024,35.84
20-09-2024,35.02
23-09-2024,35.75
24-09-2024,36.58
25-09-2024,35.92
26-09-2024,36.71
27-09-2024,37.06
30-09-2024,36.91
01-10-2024,37.56
02-10-2024,37
03-10-2024,36.6
04-10-2024,36.86
07-10-2024,37.3
08-10-2024,36.15
09-10-2024,35.59
10-10-2024,35.98
11-10-2024,36.1
14-10-2024,35.94
15-10-2024,34.87
16-10-2024,35.19
17-10-2024,35.67
18-10-2024,35.23
21-10-2024,34.5
22-10-2024,34.72
23-10-2024,34.61
24-10-2024,35.08
25-10-2024,35.47
28-10-2024,35.64
29-10-2024,34.83
30-10-2024,34.06
31-10-2024,34.11
01-11-2024,34.23
04-11-2024,34.25
05-11-2024,34.42
06-11-2024,36.4
07-11-2024,36.54
08-11-2024,35.44
11-11-2024,34.88
12-11-2024,34.44
13-11-2024,34.19
14-11-2024,33.42
15-11-2024,34.19
18-11-2024,34.27
19-11-2024,33.48
20-11-2024,33.55
21-11-2024,33.38
22-11-2024,33.43
25-11-2024,33.78
26-11-2024,32.55
27-11-2024,33.1
29-11-2024,33.17
02-12-2024,33.16
03-12-2024,32.02
04-12-2024,32.3
05-12-2024,32.21
06-12-2024,31.51
09-12-2024,32.48
10-12-2024,32
11-12-2024,32.05
12-12-2024,31.73
13-12-2024,30.71
16-12-2024,29.9
17-12-2024,30.31
18-12-2024,29.29
19-12-2024,29.06
20-12-2024,28.97
23-12-2024,28.78
24-12-2024,28.88
26-12-2024,29.04
27-12-2024,28.98
30-12-2024,28.78
31-12-2024,29.08
02-01-2025,29.29
03-01-2025,29.16
06-01-2025,29.77
07-01-2025,29.4
08-01-2025,28.98
10-01-2025,28.55
13-01-2025,29.09
14-01-2025,28.73
15-01-2025,29.28
16-01-2025,29
17-01-2025,28.93
21-01-2025,28.77
22-01-2025,28.53
