Date,STELLANTIS
1,17.328
2,17.714
3,18.428
4,18.246
5,18.002
6,17.864
7,18.04
8,18.38
9,19.01
10,18.974
11,19.14
12,19.094
13,18.99
14,18.794
15,18.128
16,16.788
17,16.602
18,17.404
19,17.542
20,17.068
21,16.97
22,17.344
23,17.476
24,17.374
25,16.462
26,16.302
27,16.438
28,17.106
29,16.96
30,16.77
31,16.34
32,17.012
33,17.17
34,16.85
35,16.692
36,16.304
37,16.346
38,17.066
39,16.034
40,16.884
41,16.37
42,15.236
43,15.392
44,14.96
45,13.822
46,12.938
47,12.932
48,14.52
49,13.47
50,13.496
51,14
52,14.156
53,15.06
54,14.716
55,14.664
56,14.608
57,14.822
58,14.594
59,14.412
60,14.434
61,14.45
62,15.41
63,15.166
64,14.8
65,14.79
66,14.888
67,14.34
68,13.702
69,13.54
70,13.766
71,13.922
72,13.906
73,13.974
74,14.074
75,13.348
76,13.42
77,13.55
78,13.112
79,12.8
80,12.392
81,12.64
82,12.796
83,12.982
84,12.59
85,12.99
86,12.822
87,12.73
88,13.144
89,12.7
90,12.848
91,13.23
92,13.254
93,13.77
94,13.682
95,13.728
96,13.508
97,13.472
98,13.54
99,13.572
100,13.136
101,13.38
102,13.71
103,13.748
104,14
105,13.934
106,14.176
107,14.264
108,13.792
109,14.058
110,13.888
111,14.008
112,13.712
113,12.992
114,12.482
115,12.478
116,12.83
117,12.152
118,12.236
119,12.388
120,12.698
121,12.48
122,12.214
123,12.428
124,12.42
125,12.54
126,12.19
127,11.792
128,11.72
129,11.596
130,11.24
131,11.204
132,11.998
133,12.458
134,12.2
135,12.298
136,12
137,11.692
138,11.956
139,12.254
140,12.724
141,12.642
142,12.568
143,12.648
144,12.852
145,12.75
146,12.93
147,13.566
148,13.922
149,14.046
150,14.282
151,14.424
152,14.324
153,14.332
154,14.782
155,14.406
156,14.608
157,14.686
158,14.832
159,14.9
160,14.64
161,14.872
162,14.444
163,13.852
164,14.04
165,14.19
166,14.09
167,13.74
168,13.756
169,13.62
170,13.354
171,13.13
172,13.474
173,12.828
174,13
175,13.138
176,13.128
177,13.292
178,13.738
179,13.544
180,13.666
181,13.684
182,13.4
183,13.51
184,13.22
185,13.33
186,13.008
187,12.482
188,12.72
189,12.834
190,12.826
191,12.214
192,12.272
193,12.514
194,12.93
195,12.624
196,12.534
197,12.3
198,12.184
199,12.32
200,12.194
201,12.486
202,12.498
203,12.814
204,13.022
205,12.968
206,13.174
207,13.074
208,13.474
209,13.53
210,13.652
211,13.634
212,13.564
213,13.66
214,13.792
215,13.734
216,13.286
217,13.564
218,13.76
219,13.71
220,13.706
221,14.158
222,14.228
223,14.408
224,14.516
225,14.25
226,14.108
227,14.41
228,14.542
229,14.682
230,14.464
231,14.654
232,14.65
233,14.554
234,14.71
235,14.892
236,14.908
237,14.602
238,14.658
239,14.448
240,14.482
241,14.082
242,13.724
243,13.784
244,13.8
245,13.892
246,13.554
247,13.354
248,13.474
249,13.254
250,13.54
251,13.124
252,13.19
253,13.158
254,13.118
255,13.378
256,13.264
257,13.648
258,13.826
259,14.192
260,14.34
261,14.446
262,14.554
263,14.666
264,14.648
265,14.77
266,14.23
267,14.316
268,14.362
269,14.268
270,13.91
271,14.024
272,14.016
273,14.02
274,13.916
275,14.054
276,14.196
277,14.024
278,14.376
279,14.488
280,15.208
281,15.2
282,15.08
283,15.088
284,15.122
285,15.678
286,15.412
287,15.508
288,15.576
289,15.87
290,15.904
291,15.95
292,16.138
293,15.868
294,16.218
295,16.804
296,16.45
297,16.632
298,16.554
299,17.056
300,17.172
301,17.668
302,17.576
303,17.53
304,17.49
305,17.202
306,16.888
307,16.204
308,16.394
309,15.794
310,15.916
311,15.716
312,15.846
313,16.186
314,16.196
315,16.18
316,15.902
317,16.23
318,16.252
319,16.41
320,16.582
321,16.736
322,16.67
323,16.44
324,16.114
325,16.248
326,16.75
327,16.796
328,16.828
329,17.164
330,16.978
331,17.032
332,16.968
333,16.05
334,15.944
335,14.938
336,14.754
337,14.67
338,14.754
339,15
340,14.738
341,14.462
342,14.36
343,14.726
344,14.82
345,14.942
346,14.97
347,14.91
348,14.946
349,14.862
350,14.692
351,14.84
352,15.146
353,15.432
354,15.322
355,15.238
356,14.62
357,14.47
358,14.772
359,14.75
360,14.7
361,14.182
362,14.384
363,14.786
364,14.816
365,14.75
366,14.964
367,15.18
368,15.052
369,15.296
370,15.562
371,15.766
372,15.732
373,15.858
374,15.74
375,15.38
376,15.366
377,15.224
378,15.116
379,15.184
380,15.314
381,15.47
382,16.02
383,16.09
384,16.292
385,16.256
386,16.16
387,15.878
388,16.208
389,16.266
390,16.344
391,16.728
392,16.812
393,16.706
394,16.604
395,16.604
396,16.59
397,16.66
398,16.51
399,16.776
400,16.786
401,17.23
402,18.148
403,18.58
404,18.644
405,18.294
406,18.056
407,17.892
408,17.858
409,17.804
410,17.554
411,17.396
412,17.45
413,16.85
414,16.898
415,16.668
416,16.476
417,16.354
418,16.644
419,16.716
420,16.734
421,16.546
422,16.72
423,16.932
424,17.22
425,17.166
426,17.176
427,16.8
428,16.816
429,16.906
430,16.92
431,16.952
432,17
433,17.376
434,17.826
435,17.768
436,17.574
437,17.906
438,17.786
439,18.052
440,18.616
441,18.162
442,18.286
443,18.068
444,17.982
445,17.858
446,18.164
447,18.21
448,18.1
449,17.806
450,17.726
451,17.822
452,17.998
453,17.998
454,18.556
455,18.938
456,18.908
457,18.83
458,18.7
459,18.894
460,18.772
461,18.086
462,17.648
463,18.022
464,17.726
465,17.778
466,17.672
467,17.318
468,17.04
469,17.6
470,17.942
471,18.336
472,18.696
473,18.326
474,18.086
475,18.312
476,18.126
477,17.982
478,18.314
479,18.672
480,18.878
481,18.498
482,18.47
483,18.894
484,18.556
485,18.564
486,18.672
487,18.798
488,18.748
489,18.73
490,19.714
491,19.902
492,20.105
493,20.305
494,20.465
495,21.06
496,20.915
497,21.025
498,21.01
499,20.97
500,20.91
501,21.26
502,21.545
503,21.515
504,21.285
505,21.24
506,21.245
507,21.225
508,21.23
509,21.185
510,21.15
511,21.175
512,20.45
513,20.425
514,20.51
515,20.67
516,20.555
517,20.78
518,20.61
519,20.455
520,20.135
521,19.916
522,19.638
523,19.838
524,19.67
525,19.7
526,19.566
527,19.564
528,19.422
529,19.524
530,19.474
531,20.22
532,20.495
533,20.77
534,21.25
535,21.075
536,21.45
537,21.675
538,22.135
539,22.465
540,22.64
541,22.39
542,22.575
543,23.87
544,23.775
545,23.615
546,23.4
547,23.54
548,24.23
549,24.61
550,24.305
551,24.245
552,24.365
553,24.135
554,24.435
555,24.625
556,24.73
557,25
558,25.18
559,25.105
560,25.295
561,25.765
562,25.435
563,25.37
564,26.03
565,26.15
566,26.61
567,26.66
568,26.915
569,26.935
570,27.155
571,26.58
572,26.685
573,26.345
574,25.48
575,25.015
576,25.05
577,24.6
578,24.895
579,25.075
580,25.23
581,25.21
582,24.385
583,24.995
584,24.25
585,24.27
586,24.35
587,24.23
588,23.135
589,23.305
590,23.275
591,22.89
592,23.045
593,23.225
594,20.88
595,19.98
596,20.33
597,20.23
598,20.2
599,19.8
600,20.23
601,20.28
602,21.03
603,21.47
604,21.375
605,21.17
606,20.79
607,20.675
608,20.435
609,20.395
610,20.36
611,20.55
612,20.855
613,20.7
614,20.33
615,20.475
616,20.2
617,20.14
618,19.926
619,20.18
620,20.31
621,20.19
622,20.255
623,20.075
624,20.22
625,19.66
626,18.82
627,18.984
628,19.026
629,18.98
630,19.074
631,19.032
632,19.386
633,19.37
634,19.342
635,18.544
636,18.47
637,18.634
638,18.208
639,18.316
640,18.298
641,18.108
642,18.02
643,18.068
644,18.48
645,18.564
646,18.64
647,18.656
648,18.492
649,18.658
650,19.006
651,18.584
652,18.814
653,18.378
654,18.26
655,16.674
656,16.166
657,15.628
658,15.486
659,15.404
660,15.19
661,14.684
662,14.304
663,14.17
664,14.238
665,14.238
666,14.064
667,13.98
668,13.878
669,14.096
670,14.366
671,14.732
672,14.734
673,14.878
674,14.736
675,14.966
676,14.934
677,15.02
678,14.988
679,15.146
680,15.138
681,15.02
682,14.606
683,14.534
684,14.294
685,14.06
686,14.064
687,13.68
688,13.62
689,13.512
690,13.614
691,13.59
692,13.642
693,13.664
694,13.95
695,13.47
696,13.778
697,13.994
698,13.784
699,13.992
700,14.55
701,12.408
702,12.428
703,12.408
704,11.912
705,12.12
706,12.214
707,11.988
708,12.22
709,12.194
710,11.856
711,12.042
712,12.002
713,12.01
714,11.956
715,12.184
716,11.926
717,12.02
718,12.38
719,12.56
720,12.672
721,12.704
722,12.398
723,12.238
724,12.596
725,12.724
726,12.608
727,12.65
728,12.872
729,13.02
730,12.538
731,12.762
732,12.54
733,12.46
734,12.792
735,12.702
736,12.656
737,12.388
738,12.208
739,12.17
740,12.514
741,12.814
742,12.2
743,12.136
744,12.35
745,12.536
746,11.746
747,11.934
748,12.09
749,12.548
750,12.948
751,13.146
752,13.274
753,13.194
754,13.208
755,13.348
756,12.73
757,12.758
758,12.744
759,12.362
760,12.378
761,12.342
762,12.596
763,12.59
764,12.62
765,12.176
766,12.652
767,12.788
768,12.45
769,12.42
770,12.276
771,12.04
772,12.1
773,12.33
774,12.208
775,12.55
776,12.848
777,12.652
778,12.7
779,12.662
780,12.794
781,12.982
782,12.83
783,12.87
784,13.03
785,12.962
786,12.376
787,12.61
788,12.55
789,12.674
790,12.532
791,12.628
792,12.662
793,12.674
794,13.25
795,13.424
796,13.432
797,13.558
798,13.332
799,13.334
800,13.488
801,13.47
802,13.49
803,12.944
804,12.27
805,12.36
806,12.328
807,11.076
808,11.576
809,11.816
810,11.646
811,11.948
812,11.324
813,11.262
814,11.004
815,11.274
816,11.43
817,11.586
818,11.62
819,11.272
820,11.1
821,11.316
822,11.4
823,11.394
824,10.912
825,10.482
826,10.262
827,10.284
828,10.192
829,9.371
830,8.776
831,8.289
832,8.219
833,7.77
834,7.971
835,7.667
836,7.814
837,8.319
838,8.229
839,8.291
840,7.712
841,7.938
842,8.128
843,8.199
844,8.221
845,8.301
846,8.14
847,8.38
848,8.378
849,8.32
850,8.298
851,8.711
852,8.757
853,9.357
854,9.768
855,9.692
856,9.572
857,9.572
858,9.448
859,9.574
860,9.535
861,9.165
862,8.742
863,9.18
864,9.22
865,9.014
866,9.066
867,8.965
868,8.52
869,8.74
870,8.678
871,8.585
872,8.673
873,8.718
874,9.151
875,9.028
876,8.768
877,8.483
878,8.539
879,8.601
880,8.323
881,8.155
882,8.203
883,8.01
884,8.254
885,8.509
886,8.341
887,8.818
888,8.578
889,8.601
890,8.745
891,8.747
892,8.573
893,8.394
894,8.617
895,8.745
896,8.844
897,8.586
898,8.434
899,8.53
900,8.144
901,8.173
902,7.913
903,8.035
904,7.881
905,8.601
906,8.246
907,8.505
908,8.273
909,8.286
910,7.912
911,7.916
912,7.589
913,7.612
914,7.584
915,7.633
916,7.896
917,8.086
918,8.02
919,8.274
920,8.276
921,8.324
922,8.316
923,8.584
924,8.428
925,8.295
926,8.646
927,8.572
928,8.412
929,8.173
930,8.215
931,8.184
932,8.23
933,8.07
934,7.792
935,7.713
936,7.75
937,7.622
938,7.62
939,7.46
940,8.145
941,7.995
942,8.072
943,8.14
944,8.238
945,8.4
